classId,className,groupId,groupLen,groupDetail
0,org.javaee7.wildfly.samples.everest.uzer.UzerBean,0,1,0
5,org.javaee7.wildfly.samples.everest.catalog.CatalogItemType,0,1,0
1,org.javaee7.wildfly.samples.everest.uzer.Uzer,1,2,0;3
2,org.javaee7.wildfly.samples.everest.uzer.UzerItem,1,2,0;3
3,org.javaee7.wildfly.samples.everest.catalog.CatalogItem,2,2,0;1
4,org.javaee7.wildfly.samples.everest.checkout.Order,3,2,0;5
6,org.javaee7.wildfly.samples.everest.checkout.OrderItem,3,2,0;5
7,org.javaee7.wildfly.samples.everest.catalog.CatalogItemBean,4,2,1;4
8,org.javaee7.wildfly.samples.everest.cart.Cart,5,2,2;5
9,org.javaee7.wildfly.samples.everest.cart.CartItem,5,2,2;5
10,org.javaee7.wildfly.samples.everest.checkout.Shipping,6,1,3
11,org.javaee7.wildfly.samples.everest.checkout.OrderBean,7,1,5
