traceID,order,structtype,method1,method2,m1_para,m2_para,className1,className2,m1_return,m2_return
0,0,null,org.javaee7.wildfly.samples.everest.uzer.UzerBean.addUzer,org.javaee7.wildfly.samples.everest.uzer.Uzer.<init>,,,org.javaee7.wildfly.samples.everest.uzer.UzerBean,org.javaee7.wildfly.samples.everest.uzer.Uzer,void,
0,1,null,org.javaee7.wildfly.samples.everest.uzer.UzerBean.addUzer,org.javaee7.wildfly.samples.everest.uzer.UzerItem.getLogin,,,org.javaee7.wildfly.samples.everest.uzer.UzerBean,org.javaee7.wildfly.samples.everest.uzer.UzerItem,void,java.lang.String
0,2,null,org.javaee7.wildfly.samples.everest.uzer.UzerBean.addUzer,org.javaee7.wildfly.samples.everest.uzer.Uzer.setLogin,,java.lang.String,org.javaee7.wildfly.samples.everest.uzer.UzerBean,org.javaee7.wildfly.samples.everest.uzer.Uzer,void,void
0,3,null,org.javaee7.wildfly.samples.everest.uzer.UzerBean.addUzer,org.javaee7.wildfly.samples.everest.uzer.UzerItem.getPassword,,,org.javaee7.wildfly.samples.everest.uzer.UzerBean,org.javaee7.wildfly.samples.everest.uzer.UzerItem,void,java.lang.String
0,4,null,org.javaee7.wildfly.samples.everest.uzer.UzerBean.addUzer,org.javaee7.wildfly.samples.everest.uzer.Uzer.setPassword,,java.lang.String,org.javaee7.wildfly.samples.everest.uzer.UzerBean,org.javaee7.wildfly.samples.everest.uzer.Uzer,void,void
0,5,null,org.javaee7.wildfly.samples.everest.uzer.UzerBean.addUzer,org.javaee7.wildfly.samples.everest.uzer.UzerItem.getUsername,,,org.javaee7.wildfly.samples.everest.uzer.UzerBean,org.javaee7.wildfly.samples.everest.uzer.UzerItem,void,java.lang.String
0,6,null,org.javaee7.wildfly.samples.everest.uzer.UzerBean.addUzer,org.javaee7.wildfly.samples.everest.uzer.Uzer.setUsername,,java.lang.String,org.javaee7.wildfly.samples.everest.uzer.UzerBean,org.javaee7.wildfly.samples.everest.uzer.Uzer,void,void
0,7,null,org.javaee7.wildfly.samples.everest.uzer.UzerBean.addUzer,org.javaee7.wildfly.samples.everest.uzer.UzerItem.getAddress1,,,org.javaee7.wildfly.samples.everest.uzer.UzerBean,org.javaee7.wildfly.samples.everest.uzer.UzerItem,void,java.lang.String
0,8,null,org.javaee7.wildfly.samples.everest.uzer.UzerBean.addUzer,org.javaee7.wildfly.samples.everest.uzer.Uzer.setAddress1,,java.lang.String,org.javaee7.wildfly.samples.everest.uzer.UzerBean,org.javaee7.wildfly.samples.everest.uzer.Uzer,void,void
0,9,null,org.javaee7.wildfly.samples.everest.uzer.UzerBean.addUzer,org.javaee7.wildfly.samples.everest.uzer.UzerItem.getAddress2,,,org.javaee7.wildfly.samples.everest.uzer.UzerBean,org.javaee7.wildfly.samples.everest.uzer.UzerItem,void,java.lang.String
0,10,null,org.javaee7.wildfly.samples.everest.uzer.UzerBean.addUzer,org.javaee7.wildfly.samples.everest.uzer.Uzer.setAddress2,,java.lang.String,org.javaee7.wildfly.samples.everest.uzer.UzerBean,org.javaee7.wildfly.samples.everest.uzer.Uzer,void,void
0,11,null,org.javaee7.wildfly.samples.everest.uzer.UzerBean.addUzer,org.javaee7.wildfly.samples.everest.uzer.UzerItem.getCity,,,org.javaee7.wildfly.samples.everest.uzer.UzerBean,org.javaee7.wildfly.samples.everest.uzer.UzerItem,void,java.lang.String
0,12,null,org.javaee7.wildfly.samples.everest.uzer.UzerBean.addUzer,org.javaee7.wildfly.samples.everest.uzer.Uzer.setCity,,java.lang.String,org.javaee7.wildfly.samples.everest.uzer.UzerBean,org.javaee7.wildfly.samples.everest.uzer.Uzer,void,void
0,13,null,org.javaee7.wildfly.samples.everest.uzer.UzerBean.addUzer,org.javaee7.wildfly.samples.everest.uzer.UzerItem.getState,,,org.javaee7.wildfly.samples.everest.uzer.UzerBean,org.javaee7.wildfly.samples.everest.uzer.UzerItem,void,java.lang.String
0,14,null,org.javaee7.wildfly.samples.everest.uzer.UzerBean.addUzer,org.javaee7.wildfly.samples.everest.uzer.Uzer.setState,,java.lang.String,org.javaee7.wildfly.samples.everest.uzer.UzerBean,org.javaee7.wildfly.samples.everest.uzer.Uzer,void,void
0,15,null,org.javaee7.wildfly.samples.everest.uzer.UzerBean.addUzer,org.javaee7.wildfly.samples.everest.uzer.UzerItem.getCountry,,,org.javaee7.wildfly.samples.everest.uzer.UzerBean,org.javaee7.wildfly.samples.everest.uzer.UzerItem,void,java.lang.String
0,16,null,org.javaee7.wildfly.samples.everest.uzer.UzerBean.addUzer,org.javaee7.wildfly.samples.everest.uzer.Uzer.setCountry,,java.lang.String,org.javaee7.wildfly.samples.everest.uzer.UzerBean,org.javaee7.wildfly.samples.everest.uzer.Uzer,void,void
0,17,null,org.javaee7.wildfly.samples.everest.uzer.UzerBean.addUzer,org.javaee7.wildfly.samples.everest.uzer.UzerItem.getZip,,,org.javaee7.wildfly.samples.everest.uzer.UzerBean,org.javaee7.wildfly.samples.everest.uzer.UzerItem,void,java.lang.String
0,18,null,org.javaee7.wildfly.samples.everest.uzer.UzerBean.addUzer,org.javaee7.wildfly.samples.everest.uzer.Uzer.setZip,,java.lang.String,org.javaee7.wildfly.samples.everest.uzer.UzerBean,org.javaee7.wildfly.samples.everest.uzer.Uzer,void,void
0,19,null,org.javaee7.wildfly.samples.everest.uzer.UzerBean.addUzer,org.javaee7.wildfly.samples.everest.uzer.UzerItem.getCreditcard,,,org.javaee7.wildfly.samples.everest.uzer.UzerBean,org.javaee7.wildfly.samples.everest.uzer.UzerItem,void,java.lang.String
0,20,null,org.javaee7.wildfly.samples.everest.uzer.UzerBean.addUzer,org.javaee7.wildfly.samples.everest.uzer.Uzer.setCreditcard,,java.lang.String,org.javaee7.wildfly.samples.everest.uzer.UzerBean,org.javaee7.wildfly.samples.everest.uzer.Uzer,void,void
0,21,null,org.javaee7.wildfly.samples.everest.uzer.UzerBean.addUzer,org.javaee7.wildfly.samples.everest.catalog.CatalogItem.<init>,,,org.javaee7.wildfly.samples.everest.uzer.UzerBean,org.javaee7.wildfly.samples.everest.catalog.CatalogItem,void,
0,22,null,org.javaee7.wildfly.samples.everest.uzer.UzerBean.addUzer,org.javaee7.wildfly.samples.everest.checkout.Order.<init>,,,org.javaee7.wildfly.samples.everest.uzer.UzerBean,org.javaee7.wildfly.samples.everest.checkout.Order,void,
0,23,null,org.javaee7.wildfly.samples.everest.uzer.UzerBean.addUzer,org.javaee7.wildfly.samples.everest.catalog.CatalogItemType.<init>,,,org.javaee7.wildfly.samples.everest.uzer.UzerBean,org.javaee7.wildfly.samples.everest.catalog.CatalogItemType,void,
0,24,null,org.javaee7.wildfly.samples.everest.uzer.UzerBean.addUzer,org.javaee7.wildfly.samples.everest.uzer.Uzer.<init>,,,org.javaee7.wildfly.samples.everest.uzer.UzerBean,org.javaee7.wildfly.samples.everest.uzer.Uzer,void,
0,25,null,org.javaee7.wildfly.samples.everest.uzer.UzerBean.addUzer,org.javaee7.wildfly.samples.everest.checkout.OrderItem.<init>,,,org.javaee7.wildfly.samples.everest.uzer.UzerBean,org.javaee7.wildfly.samples.everest.checkout.OrderItem,void,
0,26,null,org.javaee7.wildfly.samples.everest.uzer.UzerBean.addUzer,org.javaee7.wildfly.samples.everest.catalog.CatalogItem.<init>,,,org.javaee7.wildfly.samples.everest.uzer.UzerBean,org.javaee7.wildfly.samples.everest.catalog.CatalogItem,void,
