traceID,order,structtype,method1,method2,m1_para,m2_para,class1,class2,m1_return,m2_return
0,0,null,org.mybatis.jpetstore.web.actions.CatalogActionBean.viewCategory,org.mybatis.jpetstore.service.CatalogService.getProductListByCategory,,java.lang.String,org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.service.CatalogService,net.sourceforge.stripes.action.ForwardResolution,java.util.List
0,1,null,org.mybatis.jpetstore.service.CatalogService.getProductListByCategory,org.mybatis.jpetstore.domain.Product.<init>,java.lang.String,,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Product,java.util.List,
0,2,null,org.mybatis.jpetstore.service.CatalogService.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setProductId,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Product,java.util.List,void
0,3,null,org.mybatis.jpetstore.service.CatalogService.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setName,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Product,java.util.List,void
0,4,null,org.mybatis.jpetstore.service.CatalogService.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setDescription,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Product,java.util.List,void
0,5,null,org.mybatis.jpetstore.service.CatalogService.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setCategoryId,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Product,java.util.List,void
0,6,null,org.mybatis.jpetstore.service.CatalogService.getProductListByCategory,org.mybatis.jpetstore.domain.Product.<init>,java.lang.String,,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Product,java.util.List,
0,7,null,org.mybatis.jpetstore.service.CatalogService.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setProductId,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Product,java.util.List,void
0,8,null,org.mybatis.jpetstore.service.CatalogService.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setName,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Product,java.util.List,void
0,9,null,org.mybatis.jpetstore.service.CatalogService.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setDescription,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Product,java.util.List,void
0,10,null,org.mybatis.jpetstore.service.CatalogService.getProductListByCategory,org.mybatis.jpetstore.domain.Product.setCategoryId,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Product,java.util.List,void
0,11,null,org.mybatis.jpetstore.web.actions.CatalogActionBean.viewCategory,org.mybatis.jpetstore.service.CatalogService.getCategory,,java.lang.String,org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.service.CatalogService,net.sourceforge.stripes.action.ForwardResolution,org.mybatis.jpetstore.domain.Category
0,12,null,org.mybatis.jpetstore.service.CatalogService.getCategory,org.mybatis.jpetstore.domain.Category.<init>,java.lang.String,,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.domain.Category,
0,13,null,org.mybatis.jpetstore.service.CatalogService.getCategory,org.mybatis.jpetstore.domain.Category.setCategoryId,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.domain.Category,void
0,14,null,org.mybatis.jpetstore.service.CatalogService.getCategory,org.mybatis.jpetstore.domain.Category.setName,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.domain.Category,void
0,15,null,org.mybatis.jpetstore.service.CatalogService.getCategory,org.mybatis.jpetstore.domain.Category.setDescription,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Category,org.mybatis.jpetstore.domain.Category,void
1,0,null,org.mybatis.jpetstore.web.actions.CatalogActionBean.searchProducts,org.mybatis.jpetstore.service.CatalogService.searchProductList,,java.lang.String,org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.service.CatalogService,net.sourceforge.stripes.action.ForwardResolution,java.util.List
1,1,null,org.mybatis.jpetstore.service.CatalogService.searchProductList,org.mybatis.jpetstore.domain.Product.<init>,java.lang.String,,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Product,java.util.List,
1,2,null,org.mybatis.jpetstore.service.CatalogService.searchProductList,org.mybatis.jpetstore.domain.Product.setProductId,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Product,java.util.List,void
1,3,null,org.mybatis.jpetstore.service.CatalogService.searchProductList,org.mybatis.jpetstore.domain.Product.setName,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Product,java.util.List,void
1,4,null,org.mybatis.jpetstore.service.CatalogService.searchProductList,org.mybatis.jpetstore.domain.Product.setDescription,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Product,java.util.List,void
1,5,null,org.mybatis.jpetstore.service.CatalogService.searchProductList,org.mybatis.jpetstore.domain.Product.setCategoryId,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Product,java.util.List,void
2,0,null,org.mybatis.jpetstore.web.actions.CatalogActionBean.searchProducts,org.mybatis.jpetstore.service.CatalogService.searchProductList,,java.lang.String,org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.service.CatalogService,net.sourceforge.stripes.action.ForwardResolution,java.util.List
3,0,null,org.mybatis.jpetstore.web.actions.CatalogActionBean.viewProduct,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,,java.lang.String,org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.service.CatalogService,net.sourceforge.stripes.action.ForwardResolution,java.util.List
3,1,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Item.<init>,java.lang.String,,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,java.util.List,
3,2,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Item.getProduct,java.lang.String,,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,java.util.List,org.mybatis.jpetstore.domain.Product
3,3,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Item.getProduct,java.lang.String,,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,java.util.List,org.mybatis.jpetstore.domain.Product
3,4,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Item.getProduct,java.lang.String,,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,java.util.List,org.mybatis.jpetstore.domain.Product
3,5,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Item.getProduct,java.lang.String,,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,java.util.List,org.mybatis.jpetstore.domain.Product
3,6,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Item.getProduct,java.lang.String,,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,java.util.List,org.mybatis.jpetstore.domain.Product
3,7,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Item.getProduct,java.lang.String,,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,java.util.List,org.mybatis.jpetstore.domain.Product
3,8,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Item.getProduct,java.lang.String,,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,java.util.List,org.mybatis.jpetstore.domain.Product
3,9,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Item.getProduct,java.lang.String,,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,java.util.List,org.mybatis.jpetstore.domain.Product
3,10,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setItemId,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,java.util.List,void
3,11,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setListPrice,java.lang.String,java.math.BigDecimal,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,java.util.List,void
3,12,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setUnitCost,java.lang.String,java.math.BigDecimal,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,java.util.List,void
3,13,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setSupplierId,java.lang.String,int,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,java.util.List,void
3,14,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Item.getProduct,java.lang.String,,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,java.util.List,org.mybatis.jpetstore.domain.Product
3,15,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Product.<init>,java.lang.String,,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Product,java.util.List,
3,16,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setProduct,java.lang.String,org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,java.util.List,void
3,17,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Product.setProductId,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Product,java.util.List,void
3,18,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Item.getProduct,java.lang.String,,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,java.util.List,org.mybatis.jpetstore.domain.Product
3,19,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Product.setName,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Product,java.util.List,void
3,20,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Item.getProduct,java.lang.String,,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,java.util.List,org.mybatis.jpetstore.domain.Product
3,21,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Product.setDescription,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Product,java.util.List,void
3,22,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Item.getProduct,java.lang.String,,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,java.util.List,org.mybatis.jpetstore.domain.Product
3,23,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Product.setCategoryId,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Product,java.util.List,void
3,24,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setStatus,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,java.util.List,void
3,25,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setAttribute1,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,java.util.List,void
3,26,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Item.<init>,java.lang.String,,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,java.util.List,
3,27,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setItemId,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,java.util.List,void
3,28,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setListPrice,java.lang.String,java.math.BigDecimal,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,java.util.List,void
3,29,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setUnitCost,java.lang.String,java.math.BigDecimal,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,java.util.List,void
3,30,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setSupplierId,java.lang.String,int,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,java.util.List,void
3,31,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Item.getProduct,java.lang.String,,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,java.util.List,org.mybatis.jpetstore.domain.Product
3,32,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Product.<init>,java.lang.String,,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Product,java.util.List,
3,33,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setProduct,java.lang.String,org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,java.util.List,void
3,34,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Product.setProductId,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Product,java.util.List,void
3,35,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Item.getProduct,java.lang.String,,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,java.util.List,org.mybatis.jpetstore.domain.Product
3,36,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Product.setName,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Product,java.util.List,void
3,37,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Item.getProduct,java.lang.String,,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,java.util.List,org.mybatis.jpetstore.domain.Product
3,38,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Product.setDescription,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Product,java.util.List,void
3,39,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Item.getProduct,java.lang.String,,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,java.util.List,org.mybatis.jpetstore.domain.Product
3,40,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Product.setCategoryId,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Product,java.util.List,void
3,41,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setStatus,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,java.util.List,void
3,42,null,org.mybatis.jpetstore.service.CatalogService.getItemListByProduct,org.mybatis.jpetstore.domain.Item.setAttribute1,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Item,java.util.List,void
3,43,null,org.mybatis.jpetstore.web.actions.CatalogActionBean.viewProduct,org.mybatis.jpetstore.service.CatalogService.getProduct,,java.lang.String,org.mybatis.jpetstore.web.actions.CatalogActionBean,org.mybatis.jpetstore.service.CatalogService,net.sourceforge.stripes.action.ForwardResolution,org.mybatis.jpetstore.domain.Product
3,44,null,org.mybatis.jpetstore.service.CatalogService.getProduct,org.mybatis.jpetstore.domain.Product.<init>,java.lang.String,,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.domain.Product,
3,45,null,org.mybatis.jpetstore.service.CatalogService.getProduct,org.mybatis.jpetstore.domain.Product.setProductId,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.domain.Product,void
3,46,null,org.mybatis.jpetstore.service.CatalogService.getProduct,org.mybatis.jpetstore.domain.Product.setName,java.lang.String,java.lang.String,org.mybatis.jpetstore.service.CatalogService,org.mybatis.jpetstore.domain.Product,org.mybatis.jpetstore.domain.Product,void
