traceID,order,structtype,method1,method2,m1_para,m2_para,className1,className2,m1_return,m2_return
0,0,null,com.raysmond.blog.admin.controllers.AdminController.index,com.raysmond.blog.services.PostService.getPostsIdTitleList,Model,,com.raysmond.blog.admin.controllers.AdminController,com.raysmond.blog.services.PostService,String,List<com.raysmond.blog.models.dto.PostIdTitleDTO>
0,1,null,com.raysmond.blog.services.PostService.getPostsIdTitleList,com.raysmond.blog.services.PostService.getAllPosts,,,com.raysmond.blog.services.PostService,com.raysmond.blog.services.PostService,List<com.raysmond.blog.models.dto.PostIdTitleDTO>,List<com.raysmond.blog.models.Post>
0,2,null,com.raysmond.blog.services.PostService.getAllPosts,com.raysmond.blog.repositories.PostRepository.findAll,,,com.raysmond.blog.services.PostService,com.raysmond.blog.repositories.PostRepository,List<com.raysmond.blog.models.Post>,List<com.raysmond.blog.models.Post>
1,0,null,com.raysmond.blog.admin.controllers.AdminController.settings,com.raysmond.blog.utils.DTOUtil.map,Model,"com.raysmond.blog.services.AppSetting,com.raysmond.blog.forms.SettingsForm",com.raysmond.blog.admin.controllers.AdminController,com.raysmond.blog.utils.DTOUtil,String,com.raysmond.blog.formsSettingsForm
2,0,null,com.raysmond.blog.admin.controllers.AdminController.updateSettings,com.raysmond.blog.forms.SettingsForm.getSiteName,com.raysmond.blog.forms.SettingsForm,,com.raysmond.blog.admin.controllers.AdminController,com.raysmond.blog.forms.SettingsForm,String,String
2,1,null,com.raysmond.blog.admin.controllers.AdminController.updateSettings,com.raysmond.blog.services.AppSetting.setSiteName,com.raysmond.blog.forms.SettingsForm,String,com.raysmond.blog.admin.controllers.AdminController,com.raysmond.blog.services.AppSetting,String,
2,2,null,com.raysmond.blog.admin.controllers.AdminController.updateSettings,com.raysmond.blog.forms.SettingsForm.getSiteSlogan,com.raysmond.blog.forms.SettingsForm,,com.raysmond.blog.admin.controllers.AdminController,com.raysmond.blog.forms.SettingsForm,String,
2,3,null,com.raysmond.blog.admin.controllers.AdminController.updateSettings,com.raysmond.blog.services.AppSetting.setSiteSlogan,com.raysmond.blog.forms.SettingsForm,String,com.raysmond.blog.admin.controllers.AdminController,com.raysmond.blog.services.AppSetting,String,
2,4,null,com.raysmond.blog.admin.controllers.AdminController.updateSettings,com.raysmond.blog.forms.SettingsForm.getPageSize,com.raysmond.blog.forms.SettingsForm,,com.raysmond.blog.admin.controllers.AdminController,com.raysmond.blog.forms.SettingsForm,String,String
2,5,null,com.raysmond.blog.admin.controllers.AdminController.updateSettings,com.raysmond.blog.services.AppSetting.setPageSize,com.raysmond.blog.forms.SettingsForm,String,com.raysmond.blog.admin.controllers.AdminController,com.raysmond.blog.services.AppSetting,String,
2,6,null,com.raysmond.blog.admin.controllers.AdminController.updateSettings,com.raysmond.blog.forms.SettingsForm.getStoragePath,com.raysmond.blog.forms.SettingsForm,,com.raysmond.blog.admin.controllers.AdminController,com.raysmond.blog.forms.SettingsForm,String,String
2,7,null,com.raysmond.blog.admin.controllers.AdminController.updateSettings,com.raysmond.blog.services.AppSetting.setStoragePath,com.raysmond.blog.forms.SettingsForm,String,com.raysmond.blog.admin.controllers.AdminController,com.raysmond.blog.services.AppSetting,String,
2,8,null,com.raysmond.blog.admin.controllers.AdminController.updateSettings,com.raysmond.blog.forms.SettingsForm.getMainUri,com.raysmond.blog.forms.SettingsForm,,com.raysmond.blog.admin.controllers.AdminController,com.raysmond.blog.forms.SettingsForm,String,String
2,9,null,com.raysmond.blog.admin.controllers.AdminController.updateSettings,com.raysmond.blog.services.AppSetting.setMainUri,com.raysmond.blog.forms.SettingsForm,String,com.raysmond.blog.admin.controllers.AdminController,com.raysmond.blog.services.AppSetting,String,
2,10,null,com.raysmond.blog.admin.controllers.AdminController.updateSettings,com.raysmond.blog.forms.SettingsForm.getTelegramMasterChatId,com.raysmond.blog.forms.SettingsForm,,com.raysmond.blog.admin.controllers.AdminController,com.raysmond.blog.forms.SettingsForm,String,String
2,11,null,com.raysmond.blog.admin.controllers.AdminController.updateSettings,com.raysmond.blog.services.AppSetting.setTelegramMasterChatId,com.raysmond.blog.forms.SettingsForm,String,com.raysmond.blog.admin.controllers.AdminController,com.raysmond.blog.services.AppSetting,String,
3,0,null,com.raysmond.blog.admin.controllers.NotificatorController.sendTelegramAnnounce,com.raysmond.blog.services.PostService.getPost,Long,Long,com.raysmond.blog.admin.controllers.NotificatorController,com.raysmond.blog.services.PostService,com.raysmond.blog.models.dto.PostAnnouncementDTO,com.raysmond.blog.models.Post
3,1,null,com.raysmond.blog.services.PostService.getPost,com.raysmond.blog.repositories.PostRepository.findOne,Long,Long,com.raysmond.blog.services.PostService,com.raysmond.blog.repositories.PostRepository,com.raysmond.blog.models.Post,com.raysmond.blog.models.Post
3,2,null,com.raysmond.blog.admin.controllers.NotificatorController.sendTelegramAnnounce,com.raysmond.blog.notificators.Notificator.announcePost,Long,com.raysmond.blog.models.Post,com.raysmond.blog.admin.controllers.NotificatorController,com.raysmond.blog.notificators.Notificator,com.raysmond.blog.models.dto.PostAnnouncementDTO,
3,3,null,com.raysmond.blog.notificators.Notificator.announcePost,com.raysmond.blog.models.Post.getAnnouncement,com.raysmond.blog.models.Post,,com.raysmond.blog.notificators.Notificator,com.raysmond.blog.models.Post,,
3,4,null,com.raysmond.blog.notificators.Notificator.announcePost,com.raysmond.blog.services.AppSetting.getMainUriStripped,com.raysmond.blog.models.Post,,com.raysmond.blog.notificators.Notificator,com.raysmond.blog.services.AppSetting,,String
3,5,null,com.raysmond.blog.services.AppSetting.getMainUriStripped,com.raysmond.blog.services.SettingService.get,,,com.raysmond.blog.services.AppSetting,com.raysmond.blog.services.SettingService,String,
