classid,classname,groupId,trace,grouptrace
0,net.jforum.JForum,0,0;1;2;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;35;36;37;38;39;40;41;42;44;45;46;47;48;49;50;51;52;53;54;55;56,56;54;42;48;50;49;34;53;24;25;26;27;20;21;22;23;46;47;44;45;28;29;40;41;1;0;3;2;5;4;7;6;9;8;51;43;39;38;11;10;13;12;15;14;17;16;19;18;31;30;37;36;35;52;33;55;32
1,net.jforum.ControllerUtils,0,0;1;2;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;35;36;37;38;39;40;41;42;44;45;46;47;48;49;50;51;52;53;54;55;56,56;54;42;48;50;49;34;53;24;25;26;27;20;21;22;23;46;47;44;45;28;29;40;41;1;0;3;2;5;4;7;6;9;8;51;43;39;38;11;10;13;12;15;14;17;16;19;18;31;30;37;36;35;52;33;55;32
2,net.jforum.security.PermissionControl,0,0;1;2;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;35;36;37;38;39;40;41;42;44;45;46;47;48;49;50;51;52;53;54;55;56,56;54;42;48;50;49;34;53;24;25;26;27;20;21;22;23;46;47;44;45;28;29;40;41;1;0;3;2;5;4;7;6;9;8;51;43;39;38;11;10;13;12;15;14;17;16;19;18;31;30;37;36;35;52;33;55;32
3,net.jforum.entities.Banlist,0,0;1;2;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;35;36;37;38;39;40;41;42;44;45;46;47;48;49;50;51;52;53;54;55;56,56;54;42;48;50;49;34;53;24;25;26;27;20;21;22;23;46;47;44;45;28;29;40;41;1;0;3;2;5;4;7;6;9;8;51;43;39;38;11;10;13;12;15;14;17;16;19;18;31;30;37;36;35;52;33;55;32
20,net.jforum.repository.BanlistRepository,0,0;1;2;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56,56;54;42;48;50;49;34;53;24;25;26;27;20;21;22;23;46;47;44;45;28;29;40;41;1;0;3;2;5;4;7;6;9;8;51;43;39;38;11;10;13;12;15;14;17;16;19;18;31;30;37;36;35;52;33;55;32
19,net.jforum.repository.SecurityRepository,0,0;1;2;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56,56;54;42;48;50;49;34;53;24;25;26;27;20;21;22;23;46;47;44;45;28;29;40;41;1;0;3;2;5;4;7;6;9;8;51;43;39;38;11;10;13;12;15;14;17;16;19;18;31;30;37;36;35;52;33;55;32
9,net.jforum.context.JForumContext,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56,56;54;42;48;50;49;34;53;24;25;26;27;20;21;22;23;46;47;44;45;28;29;40;41;1;0;3;2;5;4;7;6;9;8;51;43;39;38;11;10;13;12;15;14;17;16;19;18;31;30;37;36;35;52;33;55;32
4,net.jforum.util.preferences.SystemGlobals,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56,56;54;42;48;50;49;34;53;24;25;26;27;20;21;22;23;46;47;44;45;28;29;40;41;1;0;3;2;5;4;7;6;9;8;51;43;39;38;11;10;13;12;15;14;17;16;19;18;31;30;37;36;35;52;33;55;32
7,net.jforum.context.web.WebRequestContext,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56,56;54;42;48;50;49;34;53;24;25;26;27;20;21;22;23;46;47;44;45;28;29;40;41;1;0;3;2;5;4;7;6;9;8;51;43;39;38;11;10;13;12;15;14;17;16;19;18;31;30;37;36;35;52;33;55;32
8,net.jforum.context.web.WebResponseContext,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56,56;54;42;48;50;49;34;53;24;25;26;27;20;21;22;23;46;47;44;45;28;29;40;41;1;0;3;2;5;4;7;6;9;8;51;43;39;38;11;10;13;12;15;14;17;16;19;18;31;30;37;36;35;52;33;55;32
11,net.jforum.cache.DefaultCacheEngine,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56,56;54;42;48;50;49;34;53;24;25;26;27;20;21;22;23;46;47;44;45;28;29;40;41;1;0;3;2;5;4;7;6;9;8;51;43;39;38;11;10;13;12;15;14;17;16;19;18;31;30;37;36;35;52;33;55;32
12,net.jforum.util.I18n,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56,56;54;42;48;50;49;34;53;24;25;26;27;20;21;22;23;46;47;44;45;28;29;40;41;1;0;3;2;5;4;7;6;9;8;51;43;39;38;11;10;13;12;15;14;17;16;19;18;31;30;37;36;35;52;33;55;32
5,net.jforum.util.preferences.VariableExpander,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56,56;54;42;48;50;49;34;53;24;25;26;27;20;21;22;23;46;47;44;45;28;29;40;41;1;0;3;2;5;4;7;6;9;8;51;43;39;38;11;10;13;12;15;14;17;16;19;18;31;30;37;36;35;52;33;55;32
6,net.jforum.JForumExecutionContext,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56,56;54;42;48;50;49;34;53;24;25;26;27;20;21;22;23;46;47;44;45;28;29;40;41;1;0;3;2;5;4;7;6;9;8;51;43;39;38;11;10;13;12;15;14;17;16;19;18;31;30;37;36;35;52;33;55;32
10,net.jforum.context.web.WebSessionContext,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56,56;54;42;48;50;49;34;53;24;25;26;27;20;21;22;23;46;47;44;45;28;29;40;41;1;0;3;2;5;4;7;6;9;8;51;43;39;38;11;10;13;12;15;14;17;16;19;18;31;30;37;36;35;52;33;55;32
13,net.jforum.repository.ModulesRepository,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56,56;54;42;48;50;49;34;53;24;25;26;27;20;21;22;23;46;47;44;45;28;29;40;41;1;0;3;2;5;4;7;6;9;8;51;43;39;38;11;10;13;12;15;14;17;16;19;18;31;30;37;36;35;52;33;55;32
14,net.jforum.Command,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56,56;54;42;48;50;49;34;53;24;25;26;27;20;21;22;23;46;47;44;45;28;29;40;41;1;0;3;2;5;4;7;6;9;8;51;43;39;38;11;10;13;12;15;14;17;16;19;18;31;30;37;36;35;52;33;55;32
18,net.jforum.entities.UserSession,0,0;1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56,56;54;42;48;50;49;34;53;24;25;26;27;20;21;22;23;46;47;44;45;28;29;40;41;1;0;3;2;5;4;7;6;9;8;51;43;39;38;11;10;13;12;15;14;17;16;19;18;31;30;37;36;35;52;33;55;32
17,net.jforum.SessionFacade,0,0;1;2;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56,56;54;42;48;50;49;34;53;24;25;26;27;20;21;22;23;46;47;44;45;28;29;40;41;1;0;3;2;5;4;7;6;9;8;51;43;39;38;11;10;13;12;15;14;17;16;19;18;31;30;37;36;35;52;33;55;32
30,net.jforum.repository.Tpl,0,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56,56;54;42;48;50;49;34;53;24;25;26;27;20;21;22;23;46;47;44;45;28;29;40;41;1;0;3;2;5;4;7;6;9;8;51;43;39;38;11;10;13;12;15;14;17;16;19;18;31;30;37;36;35;52;33;55;32
15,net.jforum.UrlPatternCollection,1,0;1;6;7;8;9;10;12;15;16;17;18;20;22;23;24;25;28;30;32;33;36;37;38;39;41;42;43;45;47;48;49;51;52;54;55;56,56;54;42;49;24;25;20;22;23;47;45;28;43;41;1;0;7;6;9;8;51;38;10;39;12;15;48;17;16;33;18;30;37;36;52;55;32
16,net.jforum.UrlPattern,1,0;1;6;7;8;9;10;12;15;16;17;18;20;22;23;24;25;28;30;32;33;36;37;38;39;41;42;43;45;47;48;49;51;52;54;55;56,56;54;42;49;24;25;20;22;23;47;45;28;43;41;1;0;7;6;9;8;51;38;10;39;12;15;48;17;16;33;18;30;37;36;52;55;32
21,net.jforum.view.forum.ModerationAction,2,0,0
22,net.jforum.dao.generic.GenericModerationLogDAO,2,0,0
25,net.jforum.SimpleConnection,3,0;1;2;3;5;6;7;8;9;10;11;12;16;17;19;20;21;22;24;26;27;28;29;30;31;32;33;35;36;38;39;40;41;42;44;48;49;50;51;52;53;54;55;56,56;42;50;53;24;26;27;20;21;22;49;44;28;29;40;41;1;0;3;2;5;7;6;9;8;38;11;10;39;12;48;17;16;19;32;31;30;51;36;35;52;33;55;54
26,net.jforum.util.DbUtils,3,0;1;2;3;5;6;7;8;9;10;11;12;16;17;19;20;21;22;24;26;27;28;29;30;31;32;33;35;36;38;39;40;41;42;44;48;49;50;51;52;53;54;55;56,56;42;50;53;24;26;27;20;21;22;49;44;28;29;40;41;1;0;3;2;5;7;6;9;8;38;11;10;39;12;48;17;16;19;32;31;30;51;36;35;52;33;55;54
23,net.jforum.dao.DataAccessDriver,3,0;1;2;3;5;6;7;8;9;10;11;12;16;17;19;20;21;22;24;26;27;28;29;30;31;32;33;35;36;38;39;40;41;42;44;48;49;50;51;52;53;54;55;56,56;42;50;53;24;26;27;20;21;22;49;44;28;29;40;41;1;0;3;2;5;7;6;9;8;38;11;10;39;12;48;17;16;19;32;31;30;51;36;35;52;33;55;54
24,net.jforum.DBConnection,3,0;1;2;3;5;6;7;8;9;10;11;12;16;17;19;20;21;22;24;26;27;28;29;30;31;32;33;35;36;38;39;40;41;42;44;48;49;50;51;52;53;54;55;56,56;42;50;53;24;26;27;20;21;22;49;44;28;29;40;41;1;0;3;2;5;7;6;9;8;38;11;10;39;12;48;17;16;19;32;31;30;51;36;35;52;33;55;54
27,net.jforum.dao.generic.GenericDataAccessDriver,4,0;1;2;3;5;7;8;9;16;17;19;20;21;28;29;30;31;32;33;35;36;38;39;40;41;42;44;51;53;55;56,56;42;53;20;21;44;28;29;40;41;1;0;3;2;5;7;9;8;39;38;17;16;19;32;31;30;51;36;35;33;55
28,net.jforum.view.forum.common.ViewCommon,5,0;7;8;9;11;13;14;16;17;19;21;22;31;32;35;40;41;42;48;49;52;53;54,54;53;21;22;49;42;40;41;0;7;9;8;11;13;14;17;16;19;32;31;35;52;48
