From Class,To Class,References,From Entities,To Entities
smpl.ordering.AppInsightsFilter,smpl.ordering.Utility,4,1,2
smpl.ordering.ConflictingRequestException,smpl.ordering.BadRequestException,2,2,2
smpl.ordering.controllers.CatalogController,smpl.ordering.models.CatalogItem,14,9,3
smpl.ordering.controllers.CatalogController,smpl.ordering.OrderingInitializer,1,1,1
smpl.ordering.controllers.CatalogController,smpl.ordering.repositories.CatalogItemsRepository,8,6,5
smpl.ordering.controllers.CatalogController,smpl.ordering.repositories.RepositoryFactory,1,1,1
smpl.ordering.controllers.CatalogController,smpl.ordering.Utility,5,5,1
smpl.ordering.controllers.DealerController,smpl.ordering.models.DealerInfo,15,11,3
smpl.ordering.controllers.DealerController,smpl.ordering.OrderingInitializer,1,1,1
smpl.ordering.controllers.DealerController,smpl.ordering.repositories.DealersRepository,9,6,5
smpl.ordering.controllers.DealerController,smpl.ordering.repositories.RepositoryFactory,1,1,1
smpl.ordering.controllers.DealerController,smpl.ordering.Utility,5,5,1
smpl.ordering.controllers.OrderController,smpl.ordering.BadRequestException,2,2,1
smpl.ordering.controllers.OrderController,smpl.ordering.ConflictingRequestException,1,1,1
smpl.ordering.controllers.OrderController,smpl.ordering.models.Order,9,8,4
smpl.ordering.controllers.OrderController,smpl.ordering.models.OrderEventInfo,3,3,2
smpl.ordering.controllers.OrderController,smpl.ordering.models.OrderStatus,1,1,1
smpl.ordering.controllers.OrderController,smpl.ordering.models.OrderUpdateInfo,2,2,2
smpl.ordering.controllers.OrderController,smpl.ordering.models.Quote,1,1,1
smpl.ordering.controllers.OrderController,smpl.ordering.OrderingInitializer,1,1,1
smpl.ordering.controllers.OrderController,smpl.ordering.repositories.OrderRepository,11,8,9
smpl.ordering.controllers.OrderController,smpl.ordering.repositories.QuoteRepository,2,2,2
smpl.ordering.controllers.OrderController,smpl.ordering.repositories.RepositoryFactory,2,2,2
smpl.ordering.controllers.OrderController,smpl.ordering.Utility,7,7,1
smpl.ordering.controllers.PingController,smpl.ordering.OrderingServiceProperties,3,2,3
smpl.ordering.controllers.PingController,smpl.ordering.PropertyHelper,1,1,1
smpl.ordering.controllers.PingController,smpl.ordering.Utility,1,1,1
smpl.ordering.controllers.QuoteController,smpl.ordering.BadRequestException,1,1,1
smpl.ordering.controllers.QuoteController,smpl.ordering.models.Quote,8,7,3
smpl.ordering.controllers.QuoteController,smpl.ordering.OrderingInitializer,1,1,1
smpl.ordering.controllers.QuoteController,smpl.ordering.repositories.QuoteRepository,6,6,6
smpl.ordering.controllers.QuoteController,smpl.ordering.repositories.RepositoryFactory,1,1,1
smpl.ordering.controllers.QuoteController,smpl.ordering.Utility,5,5,1
smpl.ordering.controllers.ShipmentController,smpl.ordering.BadRequestException,1,1,1
smpl.ordering.controllers.ShipmentController,smpl.ordering.models.Delivery,8,3,4
smpl.ordering.controllers.ShipmentController,smpl.ordering.models.Order,2,2,2
smpl.ordering.controllers.ShipmentController,smpl.ordering.models.OrderStatus,2,2,2
smpl.ordering.controllers.ShipmentController,smpl.ordering.models.Quote,1,1,1
smpl.ordering.controllers.ShipmentController,smpl.ordering.models.ShipmentEventInfo,3,2,3
smpl.ordering.controllers.ShipmentController,smpl.ordering.models.ShipmentRecord,18,15,3
smpl.ordering.controllers.ShipmentController,smpl.ordering.OrderingInitializer,1,1,1
smpl.ordering.controllers.ShipmentController,smpl.ordering.repositories.OrderRepository,3,3,2
smpl.ordering.controllers.ShipmentController,smpl.ordering.repositories.QuoteRepository,3,3,2
smpl.ordering.controllers.ShipmentController,smpl.ordering.repositories.RepositoryFactory,3,3,3
smpl.ordering.controllers.ShipmentController,smpl.ordering.repositories.ShipmentRepository,11,8,7
smpl.ordering.controllers.ShipmentController,smpl.ordering.Utility,6,6,1
smpl.ordering.models.CatalogItem,smpl.ordering.Utility,2,1,1
smpl.ordering.models.DealerInfo,smpl.ordering.Utility,1,1,1
smpl.ordering.models.Delivery,smpl.ordering.models.Order,3,3,1
smpl.ordering.models.Delivery,smpl.ordering.models.Quote,3,3,1
smpl.ordering.models.Delivery,smpl.ordering.models.ShipmentRecord,3,3,1
smpl.ordering.models.Order,smpl.ordering.models.OrderEventInfo,4,4,1
