From Class,To Class,References,From Entities,To Entities
actions.AccountActionBean,actions.AbstractActionBean,4,3,3
actions.AccountActionBean,domain.Account,15,12,6
actions.AccountActionBean,domain.Product,3,3,1
actions.AccountActionBean,service.AccountService,6,4,5
actions.AccountActionBean,service.CatalogService,4,4,2
actions.CartActionBean,actions.AbstractActionBean,4,3,4
actions.CartActionBean,domain.Cart,11,8,7
actions.CartActionBean,domain.CartItem,3,3,2
actions.CartActionBean,domain.Item,3,3,2
actions.CartActionBean,service.CatalogService,3,2,3
actions.CatalogActionBean,actions.AbstractActionBean,3,2,3
actions.CatalogActionBean,domain.Category,6,6,1
actions.CatalogActionBean,domain.Item,7,7,2
actions.CatalogActionBean,domain.Product,6,6,1
actions.CatalogActionBean,service.CatalogService,7,5,7
actions.OrderActionBean,actions.AbstractActionBean,13,5,4
actions.OrderActionBean,actions.AccountActionBean,10,6,3
actions.OrderActionBean,actions.CartActionBean,6,4,3
actions.OrderActionBean,domain.Account,2,2,1
actions.OrderActionBean,domain.Order,12,11,5
actions.OrderActionBean,service.OrderService,4,4,4
domain.Cart,domain.CartItem,23,17,7
domain.Cart,domain.Item,6,5,3
domain.CartItem,domain.Item,5,4,2
domain.Item,domain.Product,3,3,1
domain.LineItem,domain.CartItem,5,2,3
domain.LineItem,domain.Item,7,5,3
domain.Order,domain.Account,18,2,10
domain.Order,domain.Cart,3,2,3
domain.Order,domain.CartItem,3,3,1
domain.Order,domain.LineItem,8,7,2
mapper.IAccountMapper,domain.Account,8,8,1
mapper.ICategoryMapper,domain.Category,2,2,1
mapper.IItemMapper,domain.Item,2,2,1
mapper.ILineItemMapper,domain.LineItem,2,2,1
mapper.IOrderMapper,domain.Order,4,4,1
mapper.IProductMapper,domain.Product,3,3,1
mapper.ISequenceMapper,domain.Sequence,3,3,1
service.AccountService,domain.Account,6,5,2
service.AccountService,mapper.IAccountMapper,9,5,9
service.CatalogService,domain.Category,2,2,1
service.CatalogService,domain.Item,2,2,1
service.CatalogService,domain.Product,5,4,1
service.CatalogService,mapper.ICategoryMapper,3,3,3
service.CatalogService,mapper.IItemMapper,4,4,4
service.CatalogService,mapper.IProductMapper,4,4,4
service.OrderService,domain.Item,2,2,2
service.OrderService,domain.LineItem,9,5,5
service.OrderService,domain.Order,13,5,5
service.OrderService,domain.Sequence,8,3,3
service.OrderService,mapper.IItemMapper,4,3,4
service.OrderService,mapper.ILineItemMapper,3,3,3
service.OrderService,mapper.IOrderMapper,5,4,5
service.OrderService,mapper.ISequenceMapper,3,2,3
